gotu	covered_length	total_length	coverage_ratio	strain
G000146045	11419316	12157425	0.9392873902162671	Saccharomyces cerevisiae
G018129445	7623389	7750974	0.9835394880694994	Bradyrhizobium viridifuturi
G902859645	6542117	6826023	0.9584082854687129	Achromobacter insuavis
G001742165	6398458	8527987	0.7502893707506825	Burkholderia stabilis
G900240005	6159633	8505569	0.7241882347906413	Burkholderia stabilis
G000196015	5992265	6913412	0.8667594235668292	Cupriavidus metallidurans
G902860075	5952450	6878043	0.8654278549872398	Achromobacter insuavis
G018129525	5824279	8497769	0.6853891886211546	Bradyrhizobium denitrificans
G001758385	5811099	10352676	0.561313712512591	Burkholderia contaminans
G016127415	5726241	6796677	0.8425059775534427	Delftia acidovorans
G000741825	5706978	6777958	0.841990758868674	Delftia acidovorans
G001663855	5705730	6177064	0.9236961119392644	Ralstonia insidiosa
G001598795	5689103	6632189	0.8578017001626461	Delftia acidovorans
G016027815	5675676	7274528	0.7802122694420861	Delftia lacustris
G902329575	5633050	6196250	0.9091063143030058	Pseudomonas carnis
G001457615	5573084	6316979	0.8822388043398592	Pseudomonas aeruginosa
G001045685	5573073	6317050	0.8822271471652116	Pseudomonas aeruginosa
G012987025	5547136	6291623	0.8816701191409594	Pseudomonas aeruginosa
G001042925	5547011	6291623	0.8816502514534008	Pseudomonas aeruginosa
G000006765	5534290	6264404	0.8834503649509196	Pseudomonas aeruginosa
G900167195	5532177	6285172	0.8801950050054318	Pseudomonas aeruginosa
G008801675	5528306	6425153	0.8604162422280061	Pseudomonas aeruginosa
G900107225	5522450	7176442	0.7695247867954621	Delftia lacustris
G000758725	5509864	6812473	0.8087905816287272	Paenibacillus odorifer
G900185755	5487650	6902045	0.7950759521272318	Cupriavidus metallidurans
G016307665	5451356	5989954	0.9100831158302718	Pseudomonas carnis
G904063055	5421662	6136271	0.8835434419372938	Pseudomonas paracarnis
G001439845	5404126	6733917	0.8025234050256337	Pseudomonas lactis
G000987075	5390301	9263576	0.5818812303153771	Burkholderia contaminans
G008801405	5369198	5724111	0.9379968347923372	Ralstonia insidiosa
G904063075	5333103	5977369	0.8922157892544362	Pseudomonas paracarnis
G902859695	5228950	6866201	0.7615492176823836	Achromobacter ruhlandii
G902374465	5197096	5255091	0.9889640350661862	Ralstonia pickettii
G001571325	5182345	6610632	0.78394093030742	Delftia tsuruhatensis
G000263675	5162354	6179543	0.8353941383691318	Pseudomonas lactis
G014268375	5140442	6289056	0.8173630509888925	Pseudomonas salmasensis
G004723625	5099224	8901703	0.572836905477525	Burkholderia contaminans
G902860085	5016381	6457895	0.7767826822826943	Achromobacter ruhlandii
G000690815	4933407	5038153	0.9792094444134587	Escherichia coli
G003697165	4930608	5034854	0.9792951295112033	Escherichia coli
G900102035	4911005	6674429	0.7357940282232383	Pseudomonas extremaustralis
G000734955	4883212	4983265	0.9799221996020682	Escherichia coli
G000757795	4847808	6286629	0.7711299648826104	Methylobacterium oryzae
G007858235	4845883	6603421	0.7338443209966471	Pseudomonas extremaustralis
G900625045	4844720	6604125	0.7335899911040448	Pseudomonas extremaustralis
G000242115	4840648	6588924	0.7346644156162675	Pseudomonas extremaustralis
G020341455	4821523	5008092	0.962746491078838	Ralstonia pickettii
G001936175	4787802	6316684	0.7579612974149095	Methylobacterium phyllosphaerae
G003290485	4759452	7369807	0.6458041574223042	Malassezia restricta
G001705425	4757351	6304057	0.7546491092958074	Mesorhizobium hungaricum
G014138435	4752843	5972147	0.7958348982367648	Methylobacterium fujisawaense
G900113465	4742998	6205349	0.7643402490335354	Methylobacterium phyllosphaerae
G008727715	4689597	6024810	0.7783808949991784	Mesorhizobium terrae
G016466415	4650421	4831460	0.9625291319808091	Ralstonia pickettii
G900455835	4631876	4810247	0.9629185361999082	Ralstonia pickettii
G001021565	4611911	5738402	0.8036925610997626	Delftia tsuruhatensis
G000743455	4583810	4765599	0.9618539033603121	Ralstonia pickettii
G000005845	4575133	4641652	0.9856691109113738	Escherichia coli
G001544155	4554295	4734078	0.9620236506453844	Ralstonia pickettii
G001189845	4511407	9771074	0.4617104527097021	Bradyrhizobium tropiciagri
G013374815	4481475	4762774	0.9409379911790902	Shigella sonnei
G000008865	4459722	5594645	0.7971411948389934	Escherichia coli
G900457095	4370909	5021053	0.8705164036308719	Shigella boydii
G902859745	4357531	6294507	0.692275185332227	Achromobacter dolens
G019991125	4354744	5293674	0.8226316920913528	Phyllobacterium calauticae
G902860115	4333324	6216827	0.6970314599392906	Achromobacter dolens
G000328885	4225167	4809578	0.8784901710711418	Enterobacter hormaechei
G001729725	4174792	4782480	0.872934544420468	Enterobacter hormaechei
G000006925	4137676	4828840	0.8568674878438715	Shigella flexneri
G013004645	4025390	4574378	0.8799863063349815	Stenotrophomonas maltophilia
G001932995	4019422	4496479	0.893904319357435	Shigella dysenteriae
G020097195	4006532	4731637	0.8467538824301188	Enterobacter hormaechei
G001729705	4002843	4724316	0.8472851943011432	Enterobacter hormaechei
G016726285	3986896	4549072	0.8764196302015005	Shigella boydii
G001431675	3957673	4515606	0.876443383235827	Stenotrophomonas maltophilia
G900457215	3949542	4745946	0.8321927809545241	Shigella dysenteriae
G017167925	3936809	7158081	0.5499810633604174	Methylobacterium organophilum
G001905915	3929967	4373348	0.898617489392566	Shigella boydii
G001982635	3917256	8844277	0.44291421446885937	Bradyrhizobium mercantei
G001456965	3908118	7480244	0.5224586256811944	Rhodococcus qingshengii
G900094765	3908003	7480244	0.5224432518511428	Rhodococcus qingshengii
G001431625	3903365	4813172	0.8109755894865174	Stenotrophomonas geniculata
G020889705	3877507	9771225	0.39682915908701316	Bradyrhizobium altum
G013373795	3866739	9178972	0.4212605725347021	Bradyrhizobium quebecense
G001646745	3863768	7263779	0.5319225708821813	Rhodococcus qingshengii
G017493175	3849066	8831392	0.4358391066776336	Bradyrhizobium quebecense
G900186865	3841036	5004261	0.767553091255632	Stenotrophomonas maltophilia
