gotu	covered_length	total_length	coverage_ratio	strain
G018129525	8124466	8497769	0.956070469790365	Bradyrhizobium denitrificans
G018129445	7489093	7750974	0.9662131494699892	Bradyrhizobium viridifuturi
G001612705	6695601	6856835	0.9764856526371132	Pseudomonas yamanorum
G900105735	6638310	7087525	0.9366189184517868	Pseudomonas yamanorum
G001663855	5936305	6177064	0.9610237161214454	Ralstonia insidiosa
G008801405	5723032	5724111	0.9998114991131374	Ralstonia insidiosa
G900560965	5644014	6868303	0.8217479630703538	Pseudomonas protegens
G000397205	5643673	6867980	0.8217369590476384	Pseudomonas protegens
G902374465	5221322	5255091	0.993574040868179	Ralstonia pickettii
G000226395	5190251	32224695	0.16106439486859378	Penicillium rubens
G013385965	5183487	6566731	0.7893557692556616	Pseudomonas edaphica
G005863185	5124533	6758041	0.7582867579524895	Pseudomonas edaphica
G003290485	4835912	7369807	0.6561789202892288	Malassezia restricta
G020341455	4808269	5008092	0.9600999742017519	Ralstonia pickettii
G013267435	4696077	5179558	0.9066559347341994	Niallia circulans
G012986985	4682387	5446991	0.8596281873790502	Pseudomonas chengduensis
G900102635	4660186	5413905	0.8607808965986659	Pseudomonas chengduensis
G017905455	4650386	5409165	0.8597234508468498	Pseudomonas chengduensis
G000005845	4635746	4641652	0.9987276081877745	Escherichia coli
G016466415	4634359	4831460	0.9592046710518146	Ralstonia pickettii
G900455835	4617298	4810247	0.959887922595243	Ralstonia pickettii
G001591585	4617157	5098406	0.9056079488373425	Niallia circulans
G000743455	4568964	4765599	0.958738660134854	Ralstonia pickettii
G001544155	4539656	4734078	0.958931390653048	Ralstonia pickettii
G001750725	4469075	4952790	0.9023348456122711	Enterobacter ludwigii
G000818595	4468801	4952790	0.9022795232586078	Enterobacter ludwigii
G010669145	4456431	5858901	0.7606257555811234	Rhizobium oryzihabitans
G004117055	4451898	5374818	0.828288139244901	Brevibacillus agri
G013374815	4361742	4762774	0.9157986501144081	Shigella sonnei
G900457095	4270038	5021053	0.8504267929456232	Shigella boydii
G904063075	4262476	5977369	0.7131023699557447	Pseudomonas paracarnis
G003710885	4261861	5184300	0.8220706749223617	Brevibacillus agri
G000465575	4256498	5225929	0.8144959489499379	Pseudomonas chengduensis
G904063055	4234202	6136271	0.6900285205787032	Pseudomonas paracarnis
G900106015	4232324	5476367	0.7728342530732509	Pseudomonas sihuiensis
G000008865	4212025	5594645	0.7528672507370888	Escherichia coli
G006540025	4202133	5121798	0.8204409857632027	Brevibacillus agri
G000006925	4012880	4828840	0.8310235998707765	Shigella flexneri
G000690815	3922558	5038153	0.7785706388829399	Escherichia coli
G003697165	3921576	5034854	0.7788857432608771	Escherichia coli
G016726285	3899904	4549072	0.8572966090666404	Shigella boydii
G001439845	3882510	6733917	0.5765604179558494	Pseudomonas lactis
G000734955	3882174	4983265	0.7790422544255624	Escherichia coli
G001932995	3842306	4496479	0.8545143878132201	Shigella dysenteriae
G001189845	3839208	9771074	0.39291566106243797	Bradyrhizobium tropiciagri
G001642055	3837539	32992394	0.11631586965165365	Alternaria alternata
G900457215	3832125	4745946	0.8074522971816367	Shigella dysenteriae
