gotu	covered_length	total_length	coverage_ratio	strain
G000003525	26979568	66609203	0.40504264853611893	Blastomyces dermatitidis
G000003855	23719181	75406772	0.31454974627477755	Blastomyces gilchristii
G000146045	12089406	12157425	0.9944051474716069	Saccharomyces cerevisiae
G000182965	11312252	14282806	0.7920188792034283	Candida albicans
G018129525	8284291	8497769	0.9748783474815567	Bradyrhizobium denitrificans
G018129445	7628666	7750974	0.984220305731899	Bradyrhizobium viridifuturi
G003290485	7119738	7369807	0.9660684465685465	Malassezia restricta
G007341375	6711403	7183066	0.9343368138340926	Bacteroides koreensis
G007341395	6706856	7178721	0.9342689317498201	Bacteroides kribbi
G902859645	6579093	6826023	0.9638252024641581	Achromobacter insuavis
G002959635	6537818	6724898	0.9721809907005281	Bacteroides ovatus
G016103195	6536383	6639791	0.9844260158188715	Bacteroides thetaiotaomicron
G900445505	6524068	6707240	0.9726904061879402	Bacteroides ovatus
G001742165	6473040	8527987	0.7590349281723812	Burkholderia stabilis
G018292125	6400183	7271113	0.880220538451266	Bacteroides cellulosilyticus
G002959695	6378231	6481730	0.9840321951084047	Bacteroides thetaiotaomicron
G900445595	6300443	6404857	0.9836976844291762	Bacteroides thetaiotaomicron
G001314995	6294732	6472489	0.9725365311551708	Bacteroides ovatus
G008801675	6284713	6425153	0.9781421547471321	Pseudomonas aeruginosa
G000154125	6279871	6465989	0.9712158495784635	Bacteroides ovatus
G020149745	6257508	6434576	0.9724817921180821	Bacteroides ovatus
G001045685	6246858	6317050	0.9888884843400004	Pseudomonas aeruginosa
G001457615	6246575	6316979	0.9888547991057117	Pseudomonas aeruginosa
G900240005	6236144	8505569	0.7331836353335092	Burkholderia stabilis
G000006765	6220684	6264404	0.9930208843490937	Pseudomonas aeruginosa
G012987025	6219811	6291623	0.9885860929683803	Pseudomonas aeruginosa
G001042925	6219801	6291623	0.9885845035533757	Pseudomonas aeruginosa
G900167195	6203707	6285172	0.9870385408704806	Pseudomonas aeruginosa
G014131755	6201152	6304213	0.9836520434826679	Bacteroides thetaiotaomicron
G000011065	6194933	6293419	0.9843509545447395	Bacteroides thetaiotaomicron
G900107475	6194182	6375110	0.9716196269554565	Bacteroides ovatus
G016027815	6161365	7274528	0.8469779757532035	Delftia lacustris
G020179495	6141882	6248195	0.9829850060697529	Bacteroides thetaiotaomicron
G900243045	6126561	7114876	0.8610917463635347	Eisenbergiella massiliensis
G001758385	6095194	10352676	0.588755409712426	Burkholderia contaminans
G000196015	6077452	6913412	0.8790814145027086	Cupriavidus metallidurans
G902860075	6006468	6878043	0.8732815424387431	Achromobacter insuavis
G900107225	5990218	7176442	0.8347058333363525	Delftia lacustris
G017167925	5920110	7158081	0.8270526695632531	Methylobacterium organophilum
G001663855	5872759	6177064	0.9507363044967642	Ralstonia insidiosa
G016127415	5840431	6796677	0.8593068347958863	Delftia acidovorans
G000741825	5821214	6777958	0.858844802520169	Delftia acidovorans
G001598795	5798563	6632189	0.8743060549088695	Delftia acidovorans
G000158035	5766869	6871444	0.839251400433446	Bacteroides cellulosilyticus
G003435485	5739925	6693335	0.8575583024008211	Eisenbergiella massiliensis
G001571325	5655297	6610632	0.8554850731367288	Delftia tsuruhatensis
G902329575	5648874	6196250	0.9116601170062538	Pseudomonas carnis
G000987075	5636770	9263576	0.6084874782697308	Burkholderia contaminans
