gotu	covered_length	total_length	coverage_ratio	strain
G000003525	27010446	66609203	0.4055062181122329	Blastomyces dermatitidis
G000003855	23741364	75406772	0.31484392409742723	Blastomyces gilchristii
G000146045	12091102	12157425	0.994544650697002	Saccharomyces cerevisiae
G000182965	11931055	14282806	0.8353439093130579	Candida albicans
G000226395	9728650	32224695	0.30190045243252106	Penicillium rubens
G018129525	8417545	8497769	0.9905594044742803	Bradyrhizobium denitrificans
G018129445	7630282	7750974	0.9844287956584553	Bradyrhizobium viridifuturi
G003290485	7264561	7369807	0.9857193003833072	Malassezia restricta
G001758385	7051990	10352676	0.6811755723834109	Burkholderia contaminans
G001742165	6933225	8527987	0.8129966661534545	Burkholderia stabilis
G900240005	6751111	8505569	0.7937283208213348	Burkholderia stabilis
G007341375	6712286	7183066	0.9344597418428287	Bacteroides koreensis
G007341395	6707753	7178721	0.9343938843702102	Bacteroides kribbi
G001612705	6706499	6856835	0.9780750156595572	Pseudomonas yamanorum
G900105735	6661825	7087525	0.9399367197999302	Pseudomonas yamanorum
G902859645	6613875	6826023	0.9689207024353712	Achromobacter insuavis
G002959635	6537931	6724898	0.9721977939293652	Bacteroides ovatus
G016103195	6536384	6639791	0.9844261664260215	Bacteroides thetaiotaomicron
G900445505	6524172	6707240	0.9727059118206595	Bacteroides ovatus
G000987075	6484372	9263576	0.6999858370029025	Burkholderia contaminans
G017167925	6444938	7158081	0.9003723204585139	Methylobacterium organophilum
G018292125	6401360	7271113	0.8803824118810971	Bacteroides cellulosilyticus
G016027815	6382129	7274528	0.8773255117033023	Delftia lacustris
G002959695	6378256	6481730	0.9840360521033736	Bacteroides thetaiotaomicron
G900445595	6300455	6404857	0.983699558007306	Bacteroides thetaiotaomicron
G001314995	6294836	6472489	0.9725525991623933	Bacteroides ovatus
G008801675	6289047	6425153	0.9788166912134233	Pseudomonas aeruginosa
G000154125	6279993	6465989	0.9712347175350902	Bacteroides ovatus
G020149745	6257612	6434576	0.9724979547991973	Bacteroides ovatus
G001045685	6248824	6317050	0.9891997055587656	Pseudomonas aeruginosa
G001457615	6248565	6316979	0.9891698231068997	Pseudomonas aeruginosa
G000006765	6221966	6264404	0.9932255327082992	Pseudomonas aeruginosa
G012987025	6221923	6291623	0.9889217774173691	Pseudomonas aeruginosa
G001042925	6221917	6291623	0.9889208237683663	Pseudomonas aeruginosa
G900167195	6205829	6285172	0.9873761609069728	Pseudomonas aeruginosa
G014131755	6201153	6304213	0.9836522021067499	Bacteroides thetaiotaomicron
G000011065	6194934	6293419	0.9843511134408817	Bacteroides thetaiotaomicron
G900107475	6194298	6375110	0.9716378227199217	Bacteroides ovatus
G900107225	6183182	7176442	0.8615943666791984	Delftia lacustris
G004723625	6162337	8901703	0.6922649519985108	Burkholderia contaminans
G020179495	6141896	6248195	0.9829872467168518	Bacteroides thetaiotaomicron
G900243045	6126582	7114876	0.8610946979258669	Eisenbergiella massiliensis
G000196015	6112172	6913412	0.88410353671964	Cupriavidus metallidurans
G000397205	6106096	6867980	0.8890672366547369	Pseudomonas protegens
G900560965	6105932	6868303	0.8890015481262257	Pseudomonas protegens
G001456965	6082741	7480244	0.8131741424477598	Rhodococcus qingshengii
G900094765	6082431	7480244	0.81313269994936	Rhodococcus qingshengii
G902860075	6064166	6878043	0.8816702658008971	Achromobacter insuavis
G001663855	6011549	6177064	0.9732049077037246	Ralstonia insidiosa
G001646745	5954638	7263779	0.8197713614359688	Rhodococcus qingshengii
G016127415	5903713	6796677	0.868617561199392	Delftia acidovorans
G000741825	5884517	6777958	0.868184341065554	Delftia acidovorans
G001598795	5860148	6632189	0.8835918276755985	Delftia acidovorans
G002893965	5846882	6700073	0.8726594471433371	Rhodococcus qingshengii
G001571325	5836752	6610632	0.8829340371692147	Delftia tsuruhatensis
G000158035	5768399	6871444	0.8394740610561623	Bacteroides cellulosilyticus
G003435485	5740127	6693335	0.8575884816761749	Eisenbergiella massiliensis
G008801405	5723195	5724111	0.9998399751507264	Ralstonia insidiosa
G902329575	5695321	6196250	0.9191561024813395	Pseudomonas carnis
G904063055	5690894	6136271	0.9274189487393891	Pseudomonas paracarnis
G015099595	5689977	6726127	0.8459514665720703	Rhodococcus qingshengii
G902859695	5654202	6866201	0.823483320689272	Achromobacter ruhlandii
G001439845	5641223	6733917	0.8377327787081427	Pseudomonas lactis
G900185755	5611406	6902045	0.8130062901647266	Cupriavidus metallidurans
G000019725	5596261	6899270	0.8111381349041276	Methylobacterium radiotolerans
G904063075	5582390	5977369	0.9339209274180664	Pseudomonas paracarnis
G000757795	5569471	6286629	0.8859232825732201	Methylobacterium oryzae
G015668785	5568858	6066950	0.9179007573822102	Bacteroides xylanisolvens
G014138435	5559407	5972147	0.9308891760366916	Methylobacterium fujisawaense
G000758725	5554648	6812473	0.8153644058479205	Paenibacillus odorifer
G007991055	5504944	6794550	0.8101999396575196	Methylobacterium radiotolerans
G001936175	5502054	6316684	0.8710351823836684	Methylobacterium phyllosphaerae
G016307665	5498125	5989954	0.9178910222015061	Pseudomonas carnis
G000273175	5476569	5718458	0.9577003101185669	Bacteroides nordii
G900113465	5453820	6205349	0.8788901317234534	Methylobacterium phyllosphaerae
G902860085	5429359	6457895	0.8407320032301547	Achromobacter ruhlandii
G000226135	5422831	6115550	0.8867282582923858	Bacteroides faecis
G000381265	5349294	6833943	0.7827536752940433	Curvibacter lanceolatus
G013385965	5342503	6566731	0.8135711665362872	Pseudomonas edaphica
G013009555	5338725	5625488	0.9490243335333752	Phocaeicola dorei
G000263675	5330550	6179543	0.8626123323359025	Pseudomonas lactis
G014647355	5312244	5537590	0.9593061241442578	Butyricimonas paravirosa
G011927845	5307304	5532216	0.9593450436497779	Butyricimonas paravirosa
G000210075	5303422	5976145	0.8874319481873348	Bacteroides xylanisolvens
G902387545	5297017	5444912	0.9728379448556744	Phocaeicola dorei
G005863185	5290103	6758041	0.7827864613428654	Pseudomonas edaphica
G014268375	5288221	6289056	0.8408608541568082	Pseudomonas salmasensis
G900106755	5276163	5960874	0.8851324486979594	Bacteroides faecis
G018289355	5238300	5306051	0.9872313703731834	Phocaeicola vulgatus
G902374465	5229947	5255091	0.9952153064523526	Ralstonia pickettii
G016889925	5210061	5248958	0.9925895768264863	Bacteroides fragilis
G000156075	5209922	5566997	0.9358585966545339	Phocaeicola dorei
G001705425	5185483	6304057	0.8225628353296932	Mesorhizobium hungaricum
