gotu	covered_length	total_length	coverage_ratio	strain
G000003525	15399057	66609203	0.23118512617543255	Blastomyces dermatitidis
G000003855	12890292	75406772	0.17094342667260706	Blastomyces gilchristii
G000146045	11929427	12157425	0.9812461931700175	Saccharomyces cerevisiae
G018129445	7566780	7750974	0.9762360188538886	Bradyrhizobium viridifuturi
G001612705	6543460	6856835	0.9542974273115803	Pseudomonas yamanorum
G900105735	6519280	7087525	0.9198246214299067	Pseudomonas yamanorum
G900243045	6061961	7114876	0.8520121784272839	Eisenbergiella massiliensis
G018292125	5987366	7271113	0.8234455990437778	Bacteroides cellulosilyticus
G016103195	5962586	6639791	0.8980080848930335	Bacteroides thetaiotaomicron
G002959695	5807242	6481730	0.8959401270956983	Bacteroides thetaiotaomicron
G900445595	5732348	6404857	0.8950001537895381	Bacteroides thetaiotaomicron
G003435485	5672756	6693335	0.8475230957362809	Eisenbergiella massiliensis
G007341375	5665359	7183066	0.7887104197566889	Bacteroides koreensis
G007341395	5660559	7178721	0.788519152645715	Bacteroides kribbi
G014131755	5637802	6304213	0.8942911668752309	Bacteroides thetaiotaomicron
G000011065	5637366	6293419	0.8957557092575593	Bacteroides thetaiotaomicron
G020179495	5576141	6248195	0.8924402967577036	Bacteroides thetaiotaomicron
G000182965	5476852	14282806	0.38345770431944537	Candida albicans
G000158035	5471205	6871444	0.7962234720969857	Bacteroides cellulosilyticus
G002959635	5388526	6724898	0.8012799599339648	Bacteroides ovatus
G900445505	5349863	6707240	0.7976251036193724	Bacteroides ovatus
G000273175	5294798	5718458	0.9259135941892027	Bacteroides nordii
G001314995	5197197	6472489	0.8029672974338002	Bacteroides ovatus
G014647355	5191028	5537590	0.9374164573397453	Butyricimonas paravirosa
G000154125	5190324	6465989	0.8027115418847759	Bacteroides ovatus
G011927845	5185838	5532216	0.9373889233536796	Butyricimonas paravirosa
G020149745	5176349	6434576	0.8044584445035695	Bacteroides ovatus
G000226395	5171536	32224695	0.16048362909253291	Penicillium rubens
G902387545	5142081	5444912	0.9443827558645576	Phocaeicola dorei
G013009555	5127846	5625488	0.9115379856823088	Phocaeicola dorei
G900107475	5111776	6375110	0.8018333801299115	Bacteroides ovatus
G000156075	5017914	5566997	0.9013681882709834	Phocaeicola dorei
G001663855	4997863	6177064	0.8091000837938541	Ralstonia insidiosa
G016889925	4983414	5248958	0.9494101495954054	Bacteroides fragilis
G018289355	4976036	5306051	0.9378040278919294	Phocaeicola vulgatus
G900445515	4966817	5315085	0.9344755540127768	Bacteroides fragilis
G008801405	4951538	5724111	0.8650317927098199	Ralstonia insidiosa
G005706655	4896590	5241713	0.9341583562472803	Bacteroides fragilis
G000025985	4896431	5241720	0.9341267751806659	Bacteroides fragilis
G020097275	4890864	5236069	0.9340717244176882	Bacteroides fragilis
G001997325	4866943	5211940	0.933806413734617	Bacteroides fragilis
G000012825	4826305	5163189	0.9347527274326003	Phocaeicola vulgatus
G016766915	4804215	5141011	0.9344883720342166	Phocaeicola vulgatus
G018129525	4694741	8497769	0.552467477051918	Bradyrhizobium denitrificans
G012273055	4624271	5112798	0.9044501660343319	Parabacteroides distasonis
G000005845	4568474	4641652	0.9842344923746976	Escherichia coli
G009696275	4473663	6108817	0.7323288617092311	Eisenbergiella porci
G013374815	4459336	4762774	0.9362896496873461	Shigella sonnei
G000154105	4398275	4436217	0.99144721730249	Parabacteroides merdae
G900445495	4380141	4403164	0.9947712599394436	Parabacteroides merdae
G902374465	4361054	5255091	0.8298722134402621	Ralstonia pickettii
G000008865	4327530	5594645	0.7735128859829354	Escherichia coli
G900457095	4326051	5021053	0.8615824210578936	Shigella boydii
G018292165	4233434	4920181	0.8604224112893408	Bacteroides uniformis
G000690815	4155770	5038153	0.8248598246222375	Escherichia coli
G003697165	4154355	5034854	0.8251192586716517	Escherichia coli
G016117815	4130609	4728573	0.8735423985206531	Bacteroides uniformis
G015668785	4129954	6066950	0.6807298560232077	Bacteroides xylanisolvens
G000154205	4118422	4719737	0.8725956552240093	Bacteroides uniformis
G000734955	4110430	4983265	0.8248467621127915	Escherichia coli
G000006925	4047566	4828840	0.8382066914621317	Shigella flexneri
G900107315	4044791	4636012	0.8724720729799664	Bacteroides uniformis
G900454195	4013159	4393145	0.9135047898487303	Odoribacter splanchnicus
G020341455	4003772	5008092	0.7994605530409585	Ralstonia pickettii
G900445525	3972273	4888126	0.8126371947040645	Parabacteroides distasonis
G016726285	3949587	4549072	0.8682181772458207	Shigella boydii
G001932995	3932715	4496479	0.8746210090161658	Shigella dysenteriae
G000012845	3928227	4811379	0.8164451397406024	Parabacteroides distasonis
G020735945	3928066	4812066	0.8162951214717338	Parabacteroides distasonis
G016466415	3879091	4831460	0.8028817376114052	Ralstonia pickettii
G900455835	3865884	4810247	0.8036768174274627	Ralstonia pickettii
G001905915	3864600	4373348	0.8836708169576261	Shigella boydii
