gotu	covered_length	total_length	coverage_ratio	strain
G000003525	22833812	66609203	0.34280266046720304	Blastomyces dermatitidis
G000003855	19601342	75406772	0.25994140154945233	Blastomyces gilchristii
G000146045	12016400	12157425	0.9884000929473141	Saccharomyces cerevisiae
G000182965	10523729	14282806	0.7368110299894852	Candida albicans
G018129525	8269350	8497769	0.9731201212930123	Bradyrhizobium denitrificans
G018129445	7594860	7750974	0.979858789359892	Bradyrhizobium viridifuturi
G003290485	6971707	7369807	0.9459823032000703	Malassezia restricta
G001612705	6696999	6856835	0.9766895367906622	Pseudomonas yamanorum
G900105735	6644897	7087525	0.9375482978896018	Pseudomonas yamanorum
G007341375	6566274	7183066	0.9141324888285866	Bacteroides koreensis
G007341395	6561856	7178721	0.9140703476287768	Bacteroides kribbi
G016103195	6527966	6639791	0.9831583554361877	Bacteroides thetaiotaomicron
G002959635	6460996	6724898	0.9607574717118386	Bacteroides ovatus
G900445505	6447063	6707240	0.9612095288076765	Bacteroides ovatus
G002959695	6369800	6481730	0.9827314621250808	Bacteroides thetaiotaomicron
G900445595	6292138	6404857	0.982401012231811	Bacteroides thetaiotaomicron
G008801675	6260592	6425153	0.9743880029004757	Pseudomonas aeruginosa
G001045685	6227419	6317050	0.9858112568366564	Pseudomonas aeruginosa
G001457615	6227288	6316979	0.98580159915048	Pseudomonas aeruginosa
G001314995	6219823	6472489	0.9609630854529069	Bacteroides ovatus
G000154125	6203654	6465989	0.9594284803144577	Bacteroides ovatus
G000006765	6202354	6264404	0.9900948278559301	Pseudomonas aeruginosa
G012987025	6200475	6291623	0.9855128001153279	Pseudomonas aeruginosa
G001042925	6200353	6291623	0.9854934092522708	Pseudomonas aeruginosa
G014131755	6192822	6304213	0.9823307048794195	Bacteroides thetaiotaomicron
G000011065	6187286	6293419	0.9831358757457592	Bacteroides thetaiotaomicron
G900167195	6184712	6285172	0.984016348319505	Pseudomonas aeruginosa
G020149745	6182475	6434576	0.9608208839245974	Bacteroides ovatus
G020179495	6133318	6248195	0.9816143702301224	Bacteroides thetaiotaomicron
G900107475	6118731	6375110	0.9597843801910869	Bacteroides ovatus
G001663855	5945691	6177064	0.9625432082296703	Ralstonia insidiosa
G008801405	5722296	5724111	0.9996829201949438	Ralstonia insidiosa
G900560965	5601926	6868303	0.8156201029570186	Pseudomonas protegens
G000397205	5601577	6867980	0.8156076459162666	Pseudomonas protegens
G018292125	5504926	7271113	0.757095371781459	Bacteroides cellulosilyticus
G017167925	5457003	7158081	0.7623555810558724	Methylobacterium organophilum
G000226135	5394799	6115550	0.8821445331981588	Bacteroides faecis
G015668785	5350580	6066950	0.8819225475733277	Bacteroides xylanisolvens
G013009555	5298284	5625488	0.9418354460981874	Phocaeicola dorei
G902387545	5274473	5444912	0.9686975657274167	Phocaeicola dorei
G900106755	5248617	5960874	0.8805113142804226	Bacteroides faecis
G902374465	5225621	5255091	0.9943921047228297	Ralstonia pickettii
G000273175	5221793	5718458	0.9131470406882415	Bacteroides nordii
G900094765	5209153	7480244	0.6963881124733364	Rhodococcus qingshengii
G001456965	5209096	7480244	0.69638049240105	Rhodococcus qingshengii
G016889925	5204108	5248958	0.9914554469668075	Bacteroides fragilis
G018289355	5183221	5306051	0.9768509575200087	Phocaeicola vulgatus
G900445515	5176133	5315085	0.9738570502635423	Bacteroides fragilis
G000156075	5169464	5566997	0.9285911237243347	Phocaeicola dorei
G013385965	5122539	6566731	0.7800744388646345	Pseudomonas edaphica
G001646745	5114879	7263779	0.7041622549364456	Rhodococcus qingshengii
G005706655	5103753	5241713	0.9736803598365649	Bacteroides fragilis
G000025985	5103684	5241720	0.973665895927291	Bacteroides fragilis
G000210075	5102580	5976145	0.8538246645621885	Bacteroides xylanisolvens
G020097275	5098262	5236069	0.9736812100833659	Bacteroides fragilis
G000226395	5093522	32224695	0.15806269074075022	Penicillium rubens
G001997325	5073552	5211940	0.9734478908045756	Bacteroides fragilis
G005863185	5061939	6758041	0.7490246063911125	Pseudomonas edaphica
G002893965	5039223	6700073	0.7521146411389846	Rhodococcus qingshengii
G000012825	4985792	5163189	0.9656419704953664	Phocaeicola vulgatus
G000690815	4969501	5038153	0.9863735777774116	Escherichia coli
G003697165	4966773	5034854	0.9864780587480789	Escherichia coli
G016766915	4963566	5141011	0.9654844154194574	Phocaeicola vulgatus
G000160095	4943306	7178144	0.6886607457303726	Hungatella hathewayi
G000008865	4915146	5594645	0.8785447512755501	Escherichia coli
G000734955	4911953	4983265	0.985689703437405	Escherichia coli
G012273055	4895586	5112798	0.9575160215600147	Parabacteroides distasonis
G015099595	4894322	6726127	0.7276582794229131	Rhodococcus qingshengii
G008572545	4878739	5200059	0.9382083934047671	Bacteroides caccae
G009721605	4863053	6648012	0.7315048468624906	Hungatella hathewayi
G000158035	4851674	6871444	0.7060632379453285	Bacteroides cellulosilyticus
G020341455	4819770	5008092	0.9623964575730638	Ralstonia pickettii
G010669145	4726270	5858901	0.8066820040140634	Rhizobium oryzihabitans
G000019725	4722456	6899270	0.6844863297131436	Methylobacterium radiotolerans
G018292165	4696803	4920181	0.9545996376962554	Bacteroides uniformis
G012986985	4696171	5446991	0.862158758845021	Pseudomonas chengduensis
G013267435	4691751	5179558	0.9058207283324176	Niallia circulans
G900457095	4680617	5021053	0.9321982858974004	Shigella boydii
G900102635	4673473	5413905	0.8632351324967837	Pseudomonas chengduensis
G017905455	4663533	5409165	0.8621539553701911	Pseudomonas chengduensis
G016466415	4645787	4831460	0.9615700016144189	Ralstonia pickettii
G000005845	4639054	4641652	0.9994402854845645	Escherichia coli
G007991055	4637251	6794550	0.6824956766820467	Methylobacterium radiotolerans
G013374815	4636946	4762774	0.9735809425347497	Shigella sonnei
G900455835	4628703	4810247	0.9622589027133118	Ralstonia pickettii
G001591585	4612812	5098406	0.9047557216902695	Niallia circulans
G000743455	4580550	4765599	0.9611698340544389	Ralstonia pickettii
G001544155	4551305	4734078	0.9613920598688911	Ralstonia pickettii
G016117815	4536667	4728573	0.9594156630340697	Bacteroides uniformis
G000154205	4523820	4719737	0.9584898480572117	Bacteroides uniformis
G001189845	4504738	9771074	0.4610279279432333	Bradyrhizobium tropiciagri
G001750725	4482644	4952790	0.9050745135570052	Enterobacter ludwigii
G000818595	4482540	4952790	0.9050535152913812	Enterobacter ludwigii
G000381265	4479728	6833943	0.6555114668062054	Curvibacter lanceolatus
G900445525	4450089	4888126	0.9103875391100802	Parabacteroides distasonis
G900107315	4445297	4636012	0.9588622721425225	Bacteroides uniformis
G020735945	4381796	4812066	0.9105851831624919	Parabacteroides distasonis
G000012845	4380898	4811379	0.9105285615620802	Parabacteroides distasonis
G000006925	4374987	4828840	0.9060120028826799	Shigella flexneri
G002959715	4328959	4577828	0.9456360090418425	Bacteroides caccae
G002222615	4322117	4570803	0.9455924921726008	Bacteroides caccae
G016726305	4322025	4570941	0.945543816907722	Bacteroides caccae
G000169015	4315758	4565214	0.9453572165510752	Bacteroides caccae
G004117055	4304796	5374818	0.8009193985731238	Brevibacillus agri
G904063055	4276516	6136271	0.6969242394933339	Pseudomonas paracarnis
G904063075	4274855	5977369	0.7151733480064557	Pseudomonas paracarnis
G900106015	4271407	5476367	0.7799709186765605	Pseudomonas sihuiensis
G000465575	4269045	5225929	0.8168968617828524	Pseudomonas chengduensis
G016726285	4262317	4549072	0.9369640665173029	Shigella boydii
G000382445	4243975	4646489	0.9133724409979234	Phocaeicola massiliensis
G016027815	4219893	7274528	0.5800916568057749	Delftia lacustris
G000373085	4200954	4512548	0.9309494325600526	Phocaeicola massiliensis
G001932995	4199749	4496479	0.9340083652119803	Shigella dysenteriae
G900457215	4175329	4745946	0.8797674899798691	Shigella dysenteriae
G900243045	4153462	7114876	0.5837715232141782	Eisenbergiella massiliensis
G014784575	4126737	5289884	0.7801186188581829	Ochrobactrum sp. MT180101
G003710885	4115219	5184300	0.7937848889917636	Brevibacillus agri
G000172175	4096834	6052736	0.6768565488400617	Bacteroides intestinalis
G015326295	4090413	4858687	0.8418762105894041	Brucella anthropi
G001905915	4090034	4373348	0.9352180526223844	Shigella boydii
G006540025	4055919	5121798	0.7918935889310746	Brevibacillus agri
G900107225	4046230	7176442	0.5638211804679812	Delftia lacustris
G002949675	4042886	4578479	0.8830194481617148	Shigella dysenteriae
G006716905	4034413	4651494	0.8673370319299563	Acidovorax temperans
G003467385	4003954	6740819	0.5939862797087416	Enterocloster aldenensis
G016127415	3963268	6796677	0.583118485695289	Delftia acidovorans
G000741825	3943860	6777958	0.5818655117072133	Delftia acidovorans
G001598795	3929974	6632189	0.5925606161103069	Delftia acidovorans
G003201875	3914964	6864295	0.5703373762345587	Hungatella effluvii
G002252535	3913426	5584093	0.7008167664829364	Brucella lupini
G003572535	3904520	4119288	0.9478628345481064	Shigella boydii
G900187175	3858434	4392177	0.8784787134033988	Odoribacter splanchnicus
G000190535	3857958	4392288	0.8783481411055013	Odoribacter splanchnicus
G003990875	3838189	6652154	0.5769843873127412	Rhodococcus erythropolis
G001439845	3838146	6733917	0.569972276165566	Pseudomonas lactis
G015547255	3827710	4161757	0.9197341411331801	Phocaeicola massiliensis
G020889705	3821397	9771225	0.3910867879922937	Bradyrhizobium altum
