species_representative,mgnify_accesssion,ena_accession,status,reference_genes,core_genes,perc_core_genes,accessory_genes,pangenome_size,number_snvs,geo_diversity,num_genomes_HBC,num_genomes_NCBI,num_genomes_CGR,num_genomes_PATRIC,num_genomes_EBI,num_genomes_HGM,num_genomes_CIBIO,num_ANI97,num_ANI99,num_genomes_total,num_genomes_nonredundant,num_genomes_nearcomplete,num_samples,tax_GTDB,tax_NCBI
GUT_GENOME000001,MGYG-HGUT-00001,ERS3638031,Cultured (human gut),3182,NA,NA,NA,NA,16351,0.69,1,0,0,0,2,0,1,2,4,4,3,1,3,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__GCA-900066495;s__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__
GUT_GENOME000004,MGYG-HGUT-00002,ERS3638032,Cultured (human gut),3920,1821,46.45,34621,36442,428560,1.23,5,0,1,1,140,49,162,134,327,358,308,120,308,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__
GUT_GENOME000008,MGYG-HGUT-00003,ERS3638033,Cultured (human gut),2690,1522,56.58,19714,21236,516967,1.47,3,1,1,0,253,244,676,42,561,1178,1000,593,1003,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
GUT_GENOME000010,MGYG-HGUT-00004,ERS3638034,Cultured (human gut),3634,NA,NA,NA,NA,58094,1,3,1,1,2,7,5,5,3,17,24,22,8,23,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis
GUT_GENOME000017,MGYG-HGUT-00005,ERS3638035,Cultured (human gut),3755,NA,NA,NA,NA,NA,0.65,1,0,0,0,1,0,0,1,2,2,2,1,2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Terrisporobacter;s__Terrisporobacter glycolicus_A,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Terrisporobacter;s__Terrisporobacter glycolicus
GUT_GENOME000020,MGYG-HGUT-00006,ERS3638036,Cultured (human gut),2616,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1,1,1,1,1,1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus
GUT_GENOME000021,MGYG-HGUT-00007,ERS3638037,Cultured (human gut),1887,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1,1,1,1,1,1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus intestinalis,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__
GUT_GENOME000022,MGYG-HGUT-00008,ERS3638038,Cultured (human gut),1829,1136,62.11,2320,3456,105395,1.06,2,0,0,0,11,6,5,6,14,24,17,12,19,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus johnsonii,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus johnsonii
GUT_GENOME000024,MGYG-HGUT-00009,ERS3638039,Cultured (human gut),2143,NA,NA,NA,NA,NA,0,2,0,0,0,0,0,0,1,1,2,2,2,2,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_B;s__Lactobacillus_B murinus,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus murinus
GUT_GENOME000029,MGYG-HGUT-00010,ERS3638040,Cultured (human gut),2716,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1,1,1,1,1,1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus_A;s__Staphylococcus_A lentus,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus lentus
GUT_GENOME000030,MGYG-HGUT-00011,ERS3638041,Cultured (human gut),2744,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1,1,1,1,1,1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus_B,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus
GUT_GENOME000031,MGYG-HGUT-00012,ERS3638042,Cultured (human gut),3988,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1,1,1,1,1,1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis
