gotu	covered_length	total_length	coverage_ratio	strain
G000003525	27029570	66609203	0.40579332558595543	Blastomyces dermatitidis
G000003855	23747876	75406772	0.31493028238896104	Blastomyces gilchristii
G000146045	12091602	12157425	0.9945857778271303	Saccharomyces cerevisiae
G000182965	11932618	14282806	0.8354533415912812	Candida albicans
G000226395	9729138	32224695	0.30191559609796154	Penicillium rubens
G018129525	8417543	8497769	0.9905591691183886	Bradyrhizobium denitrificans
G018129445	7630211	7750974	0.9844196355193554	Bradyrhizobium viridifuturi
G003290485	7264628	7369807	0.9857283915304702	Malassezia restricta
G001758385	7046724	10352676	0.6806669116274865	Burkholderia contaminans
G001742165	6932201	8527987	0.8128765909235087	Burkholderia stabilis
G900240005	6753627	8505569	0.7940241270160762	Burkholderia stabilis
G007341375	6712532	7183066	0.9344939890570405	Bacteroides koreensis
G007341395	6707786	7178721	0.934398481289355	Bacteroides kribbi
G001612705	6706484	6856835	0.9780728280613432	Pseudomonas yamanorum
G900105735	6661722	7087525	0.9399221872233255	Pseudomonas yamanorum
G902859645	6613774	6826023	0.9689059061183942	Achromobacter insuavis
G002959635	6537890	6724898	0.972191697182619	Bacteroides ovatus
G016103195	6536404	6639791	0.9844291785690242	Bacteroides thetaiotaomicron
G900445505	6524143	6707240	0.9727015881346127	Bacteroides ovatus
G000987075	6483140	9263576	0.699852843005768	Burkholderia contaminans
G017167925	6444916	7158081	0.9003692470090797	Methylobacterium organophilum
G018292125	6401325	7271113	0.8803775983126655	Bacteroides cellulosilyticus
G016027815	6382514	7274528	0.8773784360992218	Delftia lacustris
G002959695	6378339	6481730	0.9840488573266705	Bacteroides thetaiotaomicron
G900445595	6300338	6404857	0.98368129062054	Bacteroides thetaiotaomicron
G001314995	6294827	6472489	0.9725512086617683	Bacteroides ovatus
G008801675	6289068	6425153	0.9788199596180822	Pseudomonas aeruginosa
G000154125	6280037	6465989	0.9712415223719063	Bacteroides ovatus
G020149745	6257636	6434576	0.9725016846486855	Bacteroides ovatus
G001045685	6248797	6317050	0.9891954314118141	Pseudomonas aeruginosa
G001457615	6248588	6316979	0.9891734640878179	Pseudomonas aeruginosa
G000006765	6221949	6264404	0.9932228189625063	Pseudomonas aeruginosa
G001042925	6221904	6291623	0.9889187575288602	Pseudomonas aeruginosa
G012987025	6221887	6291623	0.9889160555233523	Pseudomonas aeruginosa
G900167195	6205862	6285172	0.9873814113599437	Pseudomonas aeruginosa
G014131755	6201211	6304213	0.9836614023035072	Bacteroides thetaiotaomicron
G000011065	6194950	6293419	0.984353655779156	Bacteroides thetaiotaomicron
G900107475	6194265	6375110	0.9716326463386514	Bacteroides ovatus
G900107225	6183412	7176442	0.8616264159871981	Delftia lacustris
G004723625	6163636	8901703	0.6924108791317796	Burkholderia contaminans
G020179495	6141733	6248195	0.9829611591827719	Bacteroides thetaiotaomicron
G900243045	6126526	7114876	0.861086827092981	Eisenbergiella massiliensis
G000196015	6112150	6913412	0.8841003544993413	Cupriavidus metallidurans
G000397205	6106162	6867980	0.8890768464672291	Pseudomonas protegens
G900560965	6105859	6868303	0.8889909195910547	Pseudomonas protegens
G001456965	6082635	7480244	0.8131599717870166	Rhodococcus qingshengii
G900094765	6082624	7480244	0.8131585012467508	Rhodococcus qingshengii
G902860075	6064325	6878043	0.8816933828416019	Achromobacter insuavis
G001663855	6011576	6177064	0.9732092787123462	Ralstonia insidiosa
G001646745	5954692	7263779	0.8197787955828502	Rhodococcus qingshengii
G016127415	5903650	6796677	0.8686082919638524	Delftia acidovorans
G000741825	5884530	6777958	0.8681862590473414	Delftia acidovorans
G001598795	5860172	6632189	0.8835954463903245	Delftia acidovorans
G002893965	5846984	6700073	0.8726746708580638	Rhodococcus qingshengii
G001571325	5836602	6610632	0.8829113464491746	Delftia tsuruhatensis
G000158035	5768379	6871444	0.8394711504597869	Bacteroides cellulosilyticus
G003435485	5740127	6693335	0.8575884816761749	Eisenbergiella massiliensis
G008801405	5723195	5724111	0.9998399751507264	Ralstonia insidiosa
G902329575	5695447	6196250	0.9191764373613073	Pseudomonas carnis
G904063055	5690869	6136271	0.9274148746038107	Pseudomonas paracarnis
G015099595	5690015	6726127	0.8459571161829088	Rhodococcus qingshengii
G902859695	5654221	6866201	0.8234860878672209	Achromobacter ruhlandii
G001439845	5641565	6733917	0.8377835663849139	Pseudomonas lactis
